Region,School Name,School Hours of Operation,Teacher Start & End Time  ,Para Start & End Time   ,Nurse Start & End Time,Family Liaison Start & End Time ,Specialist Start and End Time,Notes: 
7,Quincy Upper School,gr 6-7: 8:30am - 3:30pm; 12:10pm Wed gr 8-12: 7:40am - 2:40pm; 11:20pm Wed,gr 6-7: 8:20am - 3:40pm; 3:00pm Wed gr 8-12: 7:30am - 2:50pm; 3:00pm Wed,gr 6-7: 8:20am - 3:40pm; 3:00pm Wed gr 8-12: 7:30am - 2:50pm; 3:00pm Wed,gr 6-7: 8:20am - 3:40pm; 3:00pm Wed gr 8-12: 7:30am - 2:50pm; 3:00pm Wed,gr 6-7: 8:20am - 3:40pm; 3:00pm Wed gr 8-12: 7:30am - 2:50pm; 3:00pm Wed,gr 6-7: 8:20am - 3:40pm; 3:00pm Wed gr 8-12: 7:30am - 2:50pm; 3:00pm Wed,
7,Snowden International High School,7:40am - 2:15pm,7:35-2:20,7:35-2:15pm,7:35-2:20,7:35-2:20,n/a,
8,Another Course to College,"8:00am - 2:30pm
Early Dismissal 12:00pm",,,,,,
8,Boston Arts Academy,"8:00am - 3:55pm;12:40pm Fri
Early Dismissal 1:25pm",8:00-3:00 and 9:00-4:00,"7:30-3:00, 8:00-4:15",8:00-3:00,8:30-4:30,"8:00-3:00, 9:00-4:00",
8,Boston Collaborative High School,"8:30am - 2:00pm; wed 12:00pm
Early Dismissal 11:30am",8:00am-2:30pm,,,,,
8,Boston International High School,"8:00am - 2:30pm; Fr 1:20pm
Early Dismissal 12:00pm",7:50-2:30,8:00-2:30,7:50-2:30,7:40-3:40,7:50-2:30,
8,Greater Egleston High School,8:40am - 3:00pm,8:00am - 3:15pm,NA,8:00am - 3:15pm,8:00a - 4:00pm,8:00am - 12:30pm (.5 PE teacher),
8,Henderson K-12 Inclusion School Lower,8:30am - 2:55pm,8:20am - 3:00pm,8:20am - 3:00pm,8:20am - 3:00pm,,8:20am - 3:00pm,
8,Henderson K-12 Inclusion School Upper,8:30am - 2:55pm,8:20am - 3:00pm,8:20am - 3:00pm,8:20am - 3:00pm,,8:20am - 3:00pm,"CFCs work 8 hours at the Henderson, 7:30 - 3:30 and 8:00 to 4:00"
8,Margarita Muniz Academy,8:30am - 3:30pm; 12:30pm Fri,8:20am - 3:40pm; 3:00pm Fri,8:30am - 3:30pm,8:30am - 3:30pm,8:00 AM - 4:00 PM,8:20am - 3:40pm; 3:00pm Fri,More info is avaiable in our Election to Work Agreement which all staff receive and sign 
8,New Mission High School,"7:45am - 2:30pm
Early Dismissal 12:00","7:45-2:30 M+F
7:45-3:30 T W Th","7:00-3:00 CFCs and ABA 
7:45-2:30 classroom paras",7:45-2:30,"7:00-3:00 M, F
7:30-3:30 T W Th


","7:45-2:30 M+F
7:45-3:30 T W Th",More info is avaiable in our Election to Work Agreement which all staff receive and sign 
8,Newcomers Academy,8:00am - 2:30pm; 1:55pm Fri,7:50-2:230,8:00-2:30,7:50-2:30,7:50-3:50,7:50-2:30,
8,Ruth Batson Academy (BCLA-McCormack),7:55 a.m. - 2:20pm,7:50-2:30 ,7:00am-3:00pm ,7:50-2:30,7:50-2:30,7:50-2:30,
9,Albert Holland School of Technology (Burke HS),"7:15am - 3:15pm; 12:45pm Wed
Early Dismissal 12:29pm",7:45am-2:45pm,7:45am-2:45pm,7:45am-2:45pm,7:15am-3:15am,7:45am-2:45pm,
9,Boston Day-Evening Academy,9:00am - 3:10pm; Wed Early Dismissal 12:25pm (internships/EC),8:20 - 3:20 ,8 am - 4pm ,8:20 - 3:20 ,8 am - 4pm ,8:20 - 3:20 ,
9,Boston Latin Academy,"7:20am - 1:40pm
Early Dismissal 11:10am",7:10 - 1:50,7:10 - 1:50,7:10- 1:50,7:10 - 3:10,7:10 - 1:50,
9,Boston Latin School,"7:45am - 2:15pm
Early Dismissal 11:45am",7:35-2:15,7:45-2:15,7:35-2:15,7:30-3:30,7:35-2:15,
9,Community Academy,"7:30am - 2:10pm; Wed 1:10pm
Early Dismissal 11:40am",7:35 am-2:10 pm,7:35 am-2:10 pm,7:35 am-2:10 pm,7:35 am-2:10 pm,7:35 am-2:10 pm,CA has early release days for students  on Wednesdays(7:30am-1:10 pm)
9,Community Academy of Science and Health,"7:30am - 1:50pm
Early Dismissal 11:20am",7:20am-2:00pm,7:20am-2:00pm,7:20am-2:00pm,7:20am-2:00pm,7:20am-2:00pm,
9,Dearborn 6-12 STEM Academy,"7:30am - 2:00pm
Early Dismissal 11:30am",7:20-2:10,7:20-2:10,7:20-2:10,7:20-2:10,7:20-2:10,
9,English High School,7:20am - 2:20pm,7:10-2:30 ,7:10-2:30 ,7:10-2:30 ,7:10-2:30 ,7:10-2:30 ,
9,Madison Park Technical Vocational High School,7:30am - 2:35pm,7:20-2:35,7:30-2:25,7:20-2:35,7:20-3:35,7:20-2:35,
9,TechBoston Academy,7:30am - 2:30pm; 11:00am Fri,7:10 - 2:30,7:18 - 2:30,7:10 - 2:30,7:00 - 3:00,7:10 - 2:30,Pilot School. WEA. 
UP,UP Academy Dorchester,7:15 am-2:10 pm Mon-Fri,"Mon & Fri: 7:15 am-2:30 pm
Tues & Thurs: 7:15 am-3 pm
Wed: 7:15 am-3:30 pm","Mon & Fri: 7:15 am-2:30 pm
Tues & Thurs: 7:15 am-3 pm
Wed: 7:15 am-3:30 pm","Mon & Fri: 7:15 am-2:30 pm
Tues & Thurs: 7:15 am-3 pm
Wed: 7:15 am-3:30 pm","Mon & Fri: 7:15 am-2:30 pm
Tues & Thurs: 7:15 am-3 pm
Wed: 7:15 am-3:30 pm","Mon & Fri: 7:15 am-2:30 pm
Tues & Thurs: 7:15 am-3 pm
Wed: 7:15 am-3:30 pm",
UP,UP Academy Holland,7:45am - 3:10pm; 12:30pm Wed,,,,,,
,Succeed Boston,7:30am - 3:30pm,8:00am - 2:40pm,,,,,
