@timestamp,@message,@logStream,@logGroup
2026-08-21T16:32:54.827Z,"    ""sweep"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"    ""fastPathSkips"": 0,",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"    ""unhandledVocabularies"": {},",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"    },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,      },run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 3",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""dispatch_out_of_scope"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_worker_dispatch_status"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 14",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""not_migrated_4_8a"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_work_status"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 4",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""consumed_by_T16_enrollment_type"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_trust_election_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 9",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""benefits_resolve_via_nodes_not_terms"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_trust_benefit_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 161",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""dispatch_skills_out_of_scope"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_skill"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 5",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""not_consumed_raw_ledger_verbatim"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_ledger_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 16",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""verify_only_employment_status"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_hour_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 3",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""events_empty_no_etl"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_event_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 15",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""events_empty_no_etl"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_event_participant_status"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 5",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""events_empty_no_etl"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_event_participant_role"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 6",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""dispatch_out_of_scope"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_dispatch_sib"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 10",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""dispatch_out_of_scope"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_dispatch_job_type"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 1",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""dispatch_out_of_scope"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_dispatch_job_tags"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 97",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""stage_only_except_T29_keep_tag"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""sirius_contact_tags"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 3",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_work_status"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 47",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_types"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 2",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""employer_tags_no_s2_equivalent_02_226"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_tags"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 23",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_status"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 4",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_shift"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 1",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_settlement_tags"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 32",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_remedies"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 3",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_outcome"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 39",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_log_types"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 4",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_job_classification"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""terms"": 37",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"        ""reason"": ""grievance_descoped_greenfield"",",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      ""grievance_document_types"": {",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:32:54.827Z,"      },",run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
