BPS Employee ID,Worker ID,Original Bargaining Unit ID
119720,f63de959-ef01-4501-8685-cd7d5e7a44f1,NULL
119721,5a15c543-4f60-48d9-9f7f-fb2a594ca093,NULL
119804,46860c90-81bc-4392-bce1-10ffd2831a79,NULL
120039,c08c3b11-38f7-4866-8c89-a5b790609d54,NULL
120625,aa7534f3-15bf-4cfc-99a9-bd90d892c52d,NULL
120643,c31f3be9-3bcf-493b-b689-2c8a836b1969,NULL
124318,f35173eb-3ca9-486c-8518-a09345985961,NULL
124767,f8719514-2660-42a6-a059-5e5443b5ae30,NULL
125292,40ea4d4c-ecb9-494d-b2f8-8212484fb0db,NULL
125817,5e464943-6218-4b2d-8709-d0b5ce5fdc7f,NULL
126434,667361e1-b129-4aa6-ba68-ad8d79450bd0,NULL
127049,e3833553-aa4c-4655-95f0-bb39252562e4,NULL
127136,30f74991-527b-41b0-893d-57d6fa61543c,NULL
127359,eb5f2a3c-5794-4e10-a733-dd355ed7bc0c,NULL
127407,d810ca3e-3ceb-4ec0-9e14-b71b6787e8d0,NULL
127889,0644ed76-2461-4793-b31b-ff233d11b667,NULL
127976,1d4b58ea-d3a7-4bd7-a742-7f0629f99aac,NULL
128112,b83a5c21-ba26-422c-8bb9-a68f75324c5a,NULL
128524,f40f7941-e3cd-4182-a274-05dddec8d928,NULL
128944,1d15805a-b3da-4ff0-8543-6264103a7091,NULL
129610,d3e7071a-0d63-4984-8d9f-2ba84e48776f,NULL
130038,b6eb4f28-a723-4f35-9423-2bc709fac41d,NULL
130098,8dfe4933-70b8-4064-911f-7dd627b982f6,NULL
130102,f93dac11-7e69-4ea6-a0be-f60681144ace,NULL
130112,f01e4206-47d2-4878-a0c4-f14292a90ab2,NULL
130204,28347e64-8bcb-4ab9-a5b5-56bcb6669e9a,NULL
130764,bd76ecb2-ec3e-47c0-a69f-2fc995bbc88c,NULL
130770,382c22f2-9dbb-4538-a2ae-66ef2e1faf35,NULL
130899,afb1eec2-4349-4103-b5ca-ba58d77218c6,NULL
131079,a73f3df4-4a47-4765-9494-ebc3596105d4,NULL
131134,61beaf00-1ffa-4626-afac-e46a115c1de1,NULL
131138,bce9c7d9-cd0a-4d1c-b376-489f73d0a0bc,NULL
132595,f02fb074-cd12-497d-bacf-564d682935c5,NULL
133096,11dd752a-79df-4e57-8539-c7f0d4e2cf3c,NULL
133213,2b0ebdb1-8ada-4692-b9c5-6116b983c3cc,NULL
133845,d0400a99-824f-4a19-8f95-6056a9f0f55f,NULL
134028,88ad8d6f-08a7-45bd-a7c3-7ea3f0e17913,NULL
134531,58230f79-a3ac-46f0-a27a-a6191e4cd040,NULL
135067,15416e04-7a85-42e0-ae0b-a7ff964ffe17,NULL
135128,6a7a20c8-b419-4ab3-bb4a-918653c3eca5,NULL
135195,4b7f19f2-04c9-4975-99e9-d306c84964f7,NULL
135561,a03f907d-e74a-4c3c-82ca-292e6b5de773,NULL
135587,c570533d-099e-4151-8bae-5174ddd9eca3,NULL
135972,ffc3838e-2a46-45b7-aefe-af1b5ef0b08a,NULL
136217,96f0725c-f86a-4651-b1c3-1252bc110dc3,NULL
136262,9166ac09-d198-4cf5-b500-eb8b920b4db2,NULL
136345,0a412955-b2e1-40bf-9fad-7f132b76172c,NULL
136391,56913d7d-4e9e-4ac9-abe5-ef05de371aa9,NULL
136413,0b8ffb2a-c6e3-4b17-b8e7-aec7ba229b57,NULL
136546,00297db2-a4ad-4916-89bf-60e698fc3ea3,NULL
136603,be4d1a0d-daa3-4e76-a846-2359004c0718,NULL
136667,419a4f32-6d02-41c7-a878-2ec000e61519,NULL
136777,86b43623-007a-4e75-a403-58e5dda4e343,NULL
137121,c711c3a2-2847-4da1-bd45-b188a80a8e92,NULL
137427,e4cb9907-f693-4665-b7df-f83b0390666d,NULL
137617,564e0cdf-d2dc-4cd2-8288-2635bc537829,NULL
138428,55f80626-4a95-44d4-aa83-5e132317d34d,NULL
138858,74c56cf7-8442-4b06-9d9a-659bcf139ed2,NULL
139054,1db162f8-f1cf-4477-b75b-094797762112,NULL
139292,e5dbba2b-dc5c-4532-9a35-fa6392e87eab,NULL
139541,a30fa256-7912-4310-a942-8210a0cd45d1,NULL
139585,cce721c4-0152-449b-92ab-046288687898,NULL
139734,0e1fdf62-e990-4b33-bdb9-eae3257cdf69,NULL
139743,678c292d-833c-446a-aeab-4883a0b8000d,NULL
139764,7f4c04d2-b0e1-499c-84e8-a49aa9044888,NULL
139822,703586b9-fe32-4c40-88fa-05ce088ce4be,NULL
139834,531c3e4a-a560-42a0-82bd-02427939116b,NULL
139862,01435cf5-c4b6-4cc9-bbda-cfe524a42c05,NULL
139958,34201708-46f3-4027-999a-ca53a1a7ccca,NULL
140060,54a735b8-dd19-423c-804c-6661e36192fc,NULL
140445,3b08ece2-b59c-490e-a0ca-aa0b5cbefa04,NULL
140731,c66ba9c7-2d7d-4e08-8c8b-de1c28642044,NULL
141165,f694451d-ba72-4e80-9237-e098f5738248,NULL
141178,25683ebc-c380-4bd3-bb58-9318c67226d2,NULL
141288,f6b98771-a2dd-4517-a684-dab1ad860da1,NULL
141408,472209c4-5d4d-4fdc-9755-b3c38f0f48ff,NULL
141722,a944e4ab-3d28-48bc-aa2d-23b87a4718b8,NULL
142561,c9e2d938-9973-4fa5-a63b-114e19b5206c,NULL
142830,ae140bb9-89c3-4139-b847-4262bd1b9ffc,NULL
143077,46b19963-74ec-4e89-bf0b-e95ea7608897,NULL
143279,434e1877-9dd3-43f1-a5bd-bb3ceccf733b,NULL
143354,df3a012c-7671-4d1a-98cc-d914159e464b,NULL
143365,c989d06f-af6f-4b04-b3e9-460237ecf392,NULL
143617,602ad42e-0995-432b-89ba-04625c98c821,NULL
143683,89c6e80d-e7ec-41d4-a533-258fb92970d6,NULL
144048,2be93ed7-142c-4bb9-ae45-f144448445f5,NULL
144398,5e7d32df-d016-453f-ac96-e854a98c3da6,NULL
144937,ee17ea2c-275a-4a34-a702-84408d391722,NULL
145075,32631203-431f-4320-ae46-b7e56c19ac0d,NULL
145225,62f1786a-f50d-463b-9cff-96e88063e2c4,NULL
145361,1932615a-b4d0-46ff-bb8b-c4ab537f1922,NULL
145839,fd7b1467-10f6-42ed-8fc4-46e1cb1e345a,NULL
147706,b05d9cf7-21e8-41cb-8699-e825e7411525,NULL
148091,f398c29b-eb09-46f8-9ab6-edabdb8c79eb,NULL
148160,96fb90e1-62fc-45f8-8859-825ff0a5525d,NULL
148440,a156a47d-3bd7-48aa-a97b-fe5537d1934a,NULL
148465,a371feae-e2fb-4003-b80c-f4bf5754c04e,NULL
148488,8bc6afe4-5509-4c6c-9d72-b3797f7bb683,NULL
148565,8a1bb7d2-4d1e-4f73-9fc1-f56ab67e8a8e,NULL
148566,40399798-e3e6-41d1-a5c6-1a498935ca08,NULL
148620,098de620-82ce-4fa3-ab76-d89fed336551,NULL
148893,97d2f73a-3f7c-4b64-9699-3f99d6f8c294,NULL
148904,cdce3e5a-3c5e-4b19-a0d2-ae41f610280a,NULL
148907,ee4823ef-0cbb-4f96-9064-abc2917face2,NULL
148910,40588377-da04-4150-9eda-a4486fa3e5a0,NULL
149414,4daf646c-551c-43df-9628-72e65990c6f3,NULL
149456,dee95fac-d9ee-4403-8f26-1348166be647,NULL
149472,019d52f0-0755-4089-a9fc-502ec8eb2e65,NULL
149593,2ebbc89c-75a2-4694-821e-c1496358dab4,NULL
149776,b3438331-2774-4c8f-8fd0-7480a5f32d7c,NULL
150474,c4f7b465-075f-44cb-be8e-c5d5f15e75c5,NULL
151035,6cb17ac1-b168-41a0-8e15-59bea698e818,NULL
151177,c009cd86-9c12-49b1-a910-7ad98ad3d7eb,NULL
151406,526e985c-8cfa-4d3c-9175-db7789b50f52,NULL
151786,22f4d160-57f0-4131-850c-c37c7f1f3433,NULL
151995,ac1d7515-2e75-4464-a05d-4152452a455e,NULL
152137,a9d1553d-4cc8-4e69-979d-ca50d3973f43,NULL
152230,a4b43056-4c71-4bb9-83a6-3eb7d79c3b29,NULL
152245,64308bce-bd97-455c-b7d0-fdfb5ccbe6ea,NULL
152294,d8d4d0c6-f387-4902-a7e8-41b4e427ab0f,NULL
152322,4a32791c-6ee6-47cd-8467-50735dc1749f,NULL
152392,e0a57b80-40b9-416a-aebb-24d3e9092764,NULL
152485,34862db1-e1db-4085-ad22-85290cdf5ccd,NULL
152882,8b5a68e3-857d-40a0-b980-55d4bce41e29,NULL
152955,26af46a7-42f7-4dc9-be63-03c0e49ae429,NULL
153168,24fc7da9-bc3f-402f-a0cf-5e9a681d7af9,NULL
153651,3a92bf73-3985-46e9-929f-af0885317491,NULL
153791,5f294d7f-ae96-4dbd-8d33-9b3d1a2c4ee2,NULL
