"Content","Employer","Industry","ID","External ID","Contract","Tools"
"","COURTYARD MARRIOTT DTLA","Hospitality","H0310",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","DISNEY RESORT","Hospitality","H0325",""," 2022-2026 DLR Local 11 Final Bolded Contract 01-11-23 Signed.pdf","Uploads Contacts Users AccountsWorkers"
"","COSTA MESA HILTON (ORANGE CNTY/COSTA MESA)","Hospitality","H0350",""," Costa Mesa Hilton -MOU on Economics Executed - 12.8.23.pdf","Uploads Contacts Users AccountsWorkers"
"","MILLENNIUM BILTMORE HILTON","Hospitality","H0360",""," Millennium Biltmore - CBA - 2018-2023 - (Final)-2 2021 KPP.pdf","Uploads Contacts Users AccountsWorkers"
"","HOTEL INDIGO LOS ANGELES DOWNTOWN","Hospitality","H0375",""," INDIGO CBA.pdf","Uploads Contacts Users AccountsWorkers"
"","INTERCONTINENTAL DTLA","Hospitality","H0400",""," INTERCON CBA.pdf","Uploads Contacts Users AccountsWorkers"
"","IRVINE MARRIOTT ","Hospitality","H0425",""," Irvine Marriott Hotel - CBA - 2019-2023.pdf","Uploads Contacts Users AccountsWorkers"
"","LOEWS HOLLYWOOD HOTEL","Hospitality","H0450",""," Loews Hollywood - Side Letter on MOU on Economics Executed  - 3.21.24.pdf","Uploads Contacts Users AccountsWorkers"
"","E CENTRAL HOTEL","Hospitality","H0475",""," E Central - MOU on Economics E Executed - 12.19.2023.pdf","Uploads Contacts Users AccountsWorkers"
"","JW MARRIOTT DTLA","Hospitality","H0500",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23 (002).pdf","Uploads Contacts Users AccountsWorkers"
"","SHERATON GRAND HOTEL","Hospitality","H0560",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23 (002).pdf","Uploads Contacts Users AccountsWorkers"
"","SHERATON PARK HOTEL","Hospitality","H0575",""," Sheraton Park - MOU on Economics Executed - 5.23.24.pdf","Uploads Contacts Users AccountsWorkers"
"","SHERATON UNIVERSAL HOTEL","Hospitality","H0600",""," Sheraton Universal - MOU on Economics + Appendix A (Growth) + Appendix B (Language) - 3.29.24.pdf","Uploads Contacts Users AccountsWorkers"
"","LA HOTEL DOWNTOWN (GRAND)","Hospitality","H0625",""," LA Grand - MOU on Economics + Appendix A (Growth) + Appendix B (Language) Executed - 7.1.24.pdf","Uploads Contacts Users AccountsWorkers"
"","LINE HOTEL","Hospitality","H0675",""," The Line - MOU on Economics Executed - 1.10.24.pdf","Uploads Contacts Users AccountsWorkers"
"","USC ","Hospitality","H0800",""," USC CBA 7.1.2019 6.30.2023 (002).pdf","Uploads Contacts Users AccountsWorkers"
