@timestamp,@message
2026-01-20 17:59:22.265,    at validateString (node:internal/validators:162:11)
2026-01-20 17:59:22.265,    at Object.resolve (node:path:1097:7)
2026-01-20 17:59:22.265,    at file:///app/dist/index.js:37975:18
2026-01-20 17:59:22.265,    at ModuleJob.run (node:internal/modules/esm/module_job:195:25)
2026-01-20 17:59:22.265,    at async ModuleLoader.import (node:internal/modules/esm/loader:337:24)
2026-01-20 17:59:22.265,    at async loadESM (node:internal/process/esm_loader:34:7)
2026-01-20 17:59:22.265,    at async handleMainPromise (node:internal/modules/run_main:106:12) {
2026-01-20 17:59:22.265,  code: 'ERR_INVALID_ARG_TYPE'
2026-01-20 17:59:22.265,}
2026-01-20 17:59:22.265,Node.js v18.20.5
2026-01-20 17:59:22.246,"05:59:22 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}"
2026-01-20 17:59:22.246,"05:59:22 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}"
2026-01-20 17:59:22.245,"05:59:22 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}"
2026-01-20 17:59:18.584,> rest-express@1.0.0 start
2026-01-20 17:59:18.584,> NODE_ENV=production node dist/index.js
2026-01-20 17:59:17.779,npm warn config production Use `--omit=dev` instead.
2026-01-20 17:52:30.774,Hello from Docker!
2026-01-20 17:52:30.774,This message shows that your installation appears to be working correctly.
2026-01-20 17:52:30.774,"To generate this message, Docker took the following steps:"
2026-01-20 17:52:30.774, 1. The Docker client contacted the Docker daemon.
2026-01-20 17:52:30.774," 2. The Docker daemon pulled the ""hello-world"" image from the Docker Hub."
2026-01-20 17:52:30.774,    (amd64)
2026-01-20 17:52:30.774, 3. The Docker daemon created a new container from that image which runs the
2026-01-20 17:52:30.774,    executable that produces the output you are currently reading.
2026-01-20 17:52:30.774," 4. The Docker daemon streamed that output to the Docker client, which sent it"
2026-01-20 17:52:30.774,    to your terminal.
2026-01-20 17:52:30.774,"To try something more ambitious, you can run an Ubuntu container with:"
2026-01-20 17:52:30.774, $ docker run -it ubuntu bash
2026-01-20 17:52:30.774,"Share images, automate workflows, and more with a free Docker ID:"
2026-01-20 17:52:30.774, https://hub.docker.com/
2026-01-20 17:52:30.774,"For more examples and ideas, visit:"
2026-01-20 17:52:30.774, https://docs.docker.com/get-started/
2026-01-20 17:51:32.256,Hello from Docker!
2026-01-20 17:51:32.256,This message shows that your installation appears to be working correctly.
2026-01-20 17:51:32.256,"To generate this message, Docker took the following steps:"
2026-01-20 17:51:32.256, 1. The Docker client contacted the Docker daemon.
2026-01-20 17:51:32.256," 2. The Docker daemon pulled the ""hello-world"" image from the Docker Hub."
2026-01-20 17:51:32.256,    (amd64)
2026-01-20 17:51:32.256, 3. The Docker daemon created a new container from that image which runs the
2026-01-20 17:51:32.256,    executable that produces the output you are currently reading.
2026-01-20 17:51:32.256," 4. The Docker daemon streamed that output to the Docker client, which sent it"
2026-01-20 17:51:32.256,    to your terminal.
2026-01-20 17:51:32.256,"To try something more ambitious, you can run an Ubuntu container with:"
2026-01-20 17:51:32.256, $ docker run -it ubuntu bash
2026-01-20 17:51:32.256,"Share images, automate workflows, and more with a free Docker ID:"
2026-01-20 17:51:32.256, https://hub.docker.com/
2026-01-20 17:51:32.256,"For more examples and ideas, visit:"
2026-01-20 17:51:32.256, https://docs.docker.com/get-started/
2026-01-20 17:50:20.543,Hello from Docker!
2026-01-20 17:50:20.543,This message shows that your installation appears to be working correctly.
2026-01-20 17:50:20.543,"To generate this message, Docker took the following steps:"
2026-01-20 17:50:20.543, 1. The Docker client contacted the Docker daemon.
2026-01-20 17:50:20.543," 2. The Docker daemon pulled the ""hello-world"" image from the Docker Hub."
2026-01-20 17:50:20.543,    (amd64)
2026-01-20 17:50:20.543, 3. The Docker daemon created a new container from that image which runs the
2026-01-20 17:50:20.543,    executable that produces the output you are currently reading.
