cache_filter__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_filter__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_filter__truncated_table	4	created	int	int(11)	NO	0		
cache_filter__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_form	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_form	2	data	longblob	longblob	YES	NULL		
cache_form	3	expire	int	int(11)	NO	0	MUL	
cache_form	4	created	int	int(11)	NO	0		
cache_form	5	serialized	smallint	smallint(6)	NO	0		
cache_geocoder	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_geocoder	2	data	longblob	longblob	YES	NULL		
cache_geocoder	3	expire	int	int(11)	NO	0	MUL	
cache_geocoder	4	created	int	int(11)	NO	0		
cache_geocoder	5	serialized	smallint	smallint(6)	NO	0		
cache_image	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_image	2	data	longblob	longblob	YES	NULL		
cache_image	3	expire	int	int(11)	NO	0	MUL	
cache_image	4	created	int	int(11)	NO	0		
cache_image	5	serialized	smallint	smallint(6)	NO	0		
cache_libraries	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_libraries	2	data	longblob	longblob	YES	NULL		
cache_libraries	3	expire	int	int(11)	NO	0	MUL	
cache_libraries	4	created	int	int(11)	NO	0		
cache_libraries	5	serialized	smallint	smallint(6)	NO	0		
cache_libraries__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_libraries__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_libraries__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_libraries__truncated_table	4	created	int	int(11)	NO	0		
cache_libraries__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_menu	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_menu	2	data	longblob	longblob	YES	NULL		
cache_menu	3	expire	int	int(11)	NO	0	MUL	
cache_menu	4	created	int	int(11)	NO	0		
cache_menu	5	serialized	smallint	smallint(6)	NO	0		
cache_page	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_page	2	data	longblob	longblob	YES	NULL		
cache_page	3	expire	int	int(11)	NO	0	MUL	
cache_page	4	created	int	int(11)	NO	0		
cache_page	5	serialized	smallint	smallint(6)	NO	0		
cache_page__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_page__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_page__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_page__truncated_table	4	created	int	int(11)	NO	0		
cache_page__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_path	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_path	2	data	longblob	longblob	YES	NULL		
cache_path	3	expire	int	int(11)	NO	0	MUL	
cache_path	4	created	int	int(11)	NO	0		
cache_path	5	serialized	smallint	smallint(6)	NO	0		
cache_path__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_path__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_path__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_path__truncated_table	4	created	int	int(11)	NO	0		
cache_path__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_rules	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_rules	2	data	longblob	longblob	YES	NULL		
cache_rules	3	expire	int	int(11)	NO	0	MUL	
cache_rules	4	created	int	int(11)	NO	0		
cache_rules	5	serialized	smallint	smallint(6)	NO	0		
cache_shorten	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_shorten	2	data	longblob	longblob	YES	NULL		
cache_shorten	3	expire	int	int(11)	NO	0	MUL	
cache_shorten	4	created	int	int(11)	NO	0		
cache_shorten	5	serialized	smallint	smallint(6)	NO	0		
cache_token	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_token	2	data	longblob	longblob	YES	NULL		
cache_token	3	expire	int	int(11)	NO	0	MUL	
cache_token	4	created	int	int(11)	NO	0		
cache_token	5	serialized	smallint	smallint(6)	NO	0		
cache_token__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_token__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_token__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_token__truncated_table	4	created	int	int(11)	NO	0		
cache_token__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_update	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_update	2	data	longblob	longblob	YES	NULL		
cache_update	3	expire	int	int(11)	NO	0	MUL	
cache_update	4	created	int	int(11)	NO	0		
cache_update	5	serialized	smallint	smallint(6)	NO	0		
cache_update__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_update__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_update__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_update__truncated_table	4	created	int	int(11)	NO	0		
cache_update__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_variable	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_variable	2	data	longblob	longblob	YES	NULL		
cache_variable	3	expire	int	int(11)	NO	0	MUL	
cache_variable	4	created	int	int(11)	NO	0		
cache_variable	5	serialized	smallint	smallint(6)	NO	0		
cache_variable__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_variable__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_variable__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_variable__truncated_table	4	created	int	int(11)	NO	0		
cache_variable__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache_views	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_views	2	data	longblob	longblob	YES	NULL		
cache_views	3	expire	int	int(11)	NO	0	MUL	
cache_views	4	created	int	int(11)	NO	0		
cache_views	5	serialized	smallint	smallint(6)	NO	0		
cache_views_data	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_views_data	2	data	longblob	longblob	YES	NULL		
cache_views_data	3	expire	int	int(11)	NO	0	MUL	
cache_views_data	4	created	int	int(11)	NO	0		
cache_views_data	5	serialized	smallint	smallint(6)	NO	1		
cache_views__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache_views__truncated_table	2	data	longblob	longblob	YES	NULL		
cache_views__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache_views__truncated_table	4	created	int	int(11)	NO	0		
cache_views__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
cache__truncated_table	1	cid	varchar	varchar(255)	NO	''	PRI	utf8mb3
cache__truncated_table	2	data	longblob	longblob	YES	NULL		
cache__truncated_table	3	expire	int	int(11)	NO	0	MUL	
cache__truncated_table	4	created	int	int(11)	NO	0		
cache__truncated_table	5	serialized	smallint	smallint(6)	NO	0		
ckeditor_input_format	1	name	varchar	varchar(128)	NO	''	PRI	utf8mb3
ckeditor_input_format	2	format	varchar	varchar(128)	NO	''	PRI	utf8mb3
ckeditor_settings	1	name	varchar	varchar(128)	NO	''	PRI	utf8mb3
ckeditor_settings	2	settings	text	text	YES	NULL		utf8mb3
comment	1	cid	int	int(11)	NO	~NULL~	PRI	
comment	2	pid	int	int(11)	NO	0	MUL	
comment	3	nid	int	int(11)	NO	0	MUL	
comment	4	uid	int	int(11)	NO	0	MUL	
comment	5	subject	varchar	varchar(64)	NO	''		utf8mb3
comment	6	hostname	varchar	varchar(128)	NO	''		utf8mb3
comment	7	created	int	int(11)	NO	0	MUL	
comment	8	changed	int	int(11)	NO	0		
comment	9	status	tinyint	tinyint(3) unsigned	NO	1		
comment	10	thread	varchar	varchar(255)	NO	~NULL~		utf8mb3
comment	11	name	varchar	varchar(60)	YES	NULL		utf8mb3
comment	12	mail	varchar	varchar(64)	YES	NULL		utf8mb3
comment	13	homepage	varchar	varchar(255)	YES	NULL		utf8mb3
comment	14	language	varchar	varchar(12)	NO	''		utf8mb3
conditional_fields	1	id	int	int(11)	NO	~NULL~	PRI	
conditional_fields	2	dependee	int	int(11)	NO	~NULL~		
conditional_fields	3	dependent	int	int(11)	NO	~NULL~		
conditional_fields	4	options	longblob	longblob	NO	~NULL~		
ctools_css_cache	1	cid	varchar	varchar(128)	NO	~NULL~	PRI	utf8mb3
ctools_css_cache	2	filename	varchar	varchar(255)	YES	NULL		utf8mb3
ctools_css_cache	3	css	longtext	longtext	YES	NULL		utf8mb3
ctools_css_cache	4	filter	tinyint	tinyint(4)	YES	NULL		
ctools_object_cache	1	sid	varchar	varchar(64)	NO	~NULL~	PRI	utf8mb3
ctools_object_cache	2	name	varchar	varchar(128)	NO	~NULL~	PRI	utf8mb3
ctools_object_cache	3	obj	varchar	varchar(128)	NO	~NULL~	PRI	utf8mb3
ctools_object_cache	4	updated	int	int(10) unsigned	NO	0	MUL	
ctools_object_cache	5	data	longblob	longblob	YES	NULL		
custom_help_text_roles	1	hid	int	int(11)	NO	~NULL~	PRI	
custom_help_text_roles	2	rid	int	int(11)	NO	~NULL~	PRI	
date_formats	1	dfid	int	int(10) unsigned	NO	~NULL~	PRI	
date_formats	2	format	varchar	varchar(100)	NO	~NULL~	MUL	utf8mb3
date_formats	3	type	varchar	varchar(64)	NO	~NULL~		utf8mb3
date_formats	4	locked	tinyint	tinyint(4)	NO	0		
date_format_locale	1	format	varchar	varchar(100)	NO	~NULL~		utf8mb3
date_format_locale	2	type	varchar	varchar(64)	NO	~NULL~	PRI	utf8mb3
date_format_locale	3	language	varchar	varchar(12)	NO	~NULL~	PRI	utf8mb3
date_format_type	1	type	varchar	varchar(64)	NO	~NULL~	PRI	utf8mb3
date_format_type	2	title	varchar	varchar(255)	NO	~NULL~	MUL	utf8mb3
date_format_type	3	locked	tinyint	tinyint(4)	NO	0		
draggableviews_structure	1	dvid	int	int(10) unsigned	NO	~NULL~	PRI	
draggableviews_structure	2	view_name	varchar	varchar(128)	NO	''	MUL	utf8mb3
draggableviews_structure	3	view_display	varchar	varchar(64)	NO	''		utf8mb3
draggableviews_structure	4	args	varchar	varchar(255)	YES	''		utf8mb3
draggableviews_structure	5	entity_id	int	int(10) unsigned	NO	~NULL~	MUL	
draggableviews_structure	6	weight	int	int(11)	NO	0	MUL	
draggableviews_structure	7	parent	int	int(11)	NO	0		
ds_fields	1	field	varchar	varchar(32)	NO	''	PRI	utf8mb3
ds_fields	2	label	varchar	varchar(128)	NO	''		utf8mb3
ds_fields	3	field_type	smallint	smallint(6)	NO	0		
ds_fields	4	entities	longblob	longblob	YES	NULL		
ds_fields	5	ui_limit	longblob	longblob	YES	NULL		
ds_fields	6	properties	longblob	longblob	YES	NULL		
ds_field_settings	1	id	varchar	varchar(255)	NO	''	PRI	utf8mb3
ds_field_settings	2	entity_type	varchar	varchar(32)	NO	''	MUL	utf8mb3
ds_field_settings	3	bundle	varchar	varchar(64)	NO	''	MUL	utf8mb3
ds_field_settings	4	view_mode	varchar	varchar(64)	NO	''	MUL	utf8mb3
ds_field_settings	5	settings	longblob	longblob	YES	NULL		
ds_layout_settings	1	id	varchar	varchar(255)	NO	''	PRI	utf8mb3
ds_layout_settings	2	entity_type	varchar	varchar(32)	NO	''	MUL	utf8mb3
ds_layout_settings	3	bundle	varchar	varchar(64)	NO	''	MUL	utf8mb3
ds_layout_settings	4	view_mode	varchar	varchar(64)	NO	''	MUL	utf8mb3
ds_layout_settings	5	layout	varchar	varchar(64)	NO	''		utf8mb3
ds_layout_settings	6	settings	longblob	longblob	YES	NULL		
ds_vd	1	vd	varchar	varchar(128)	NO	''	PRI	utf8mb3
ds_vd	2	label	varchar	varchar(132)	NO	''		utf8mb3
ds_view_modes	1	view_mode	varchar	varchar(64)	NO	''	PRI	utf8mb3
ds_view_modes	2	label	varchar	varchar(32)	NO	''		utf8mb3
ds_view_modes	3	entities	longblob	longblob	YES	NULL		
elysia_cron	1	name	varchar	varchar(120)	NO	~NULL~	PRI	utf8mb3
elysia_cron	2	disable	tinyint	tinyint(4)	YES	NULL		
elysia_cron	3	rule	varchar	varchar(256)	YES	NULL		utf8mb3
elysia_cron	4	weight	int	int(11)	YES	NULL		
elysia_cron	5	context	varchar	varchar(32)	YES	NULL		utf8mb3
elysia_cron	6	running	int	int(11)	NO	0		
elysia_cron	7	last_run	int	int(11)	NO	0		
elysia_cron	8	last_aborted	tinyint	tinyint(4)	NO	0		
elysia_cron	9	abort_count	int	int(11)	NO	0		
elysia_cron	10	last_abort_function	varchar	varchar(128)	YES	NULL		utf8mb3
elysia_cron	11	last_execution_time	int	int(11)	NO	0		
elysia_cron	12	execution_count	int	int(11)	NO	0		
elysia_cron	13	avg_execution_time	float	float	NO	0		
elysia_cron	14	max_execution_time	int	int(11)	NO	0		
elysia_cron	15	last_shutdown_time	int	int(11)	NO	0		
environment_indicator_environment	1	machine	varchar	varchar(32)	YES	NULL	UNI	utf8mb3
environment_indicator_environment	2	name	varchar	varchar(255)	YES	NULL		utf8mb3
environment_indicator_environment	3	envid	int	int(10) unsigned	NO	~NULL~	PRI	
environment_indicator_environment	4	regexurl	varchar	varchar(255)	YES	NULL		utf8mb3
environment_indicator_environment	5	settings	longtext	longtext	YES	NULL		utf8mb3
features_signature	1	module	varchar	varchar(64)	NO	~NULL~	PRI	utf8mb3
features_signature	2	component	varchar	varchar(128)	NO	~NULL~	PRI	utf8mb3
features_signature	3	signature	varchar	varchar(128)	NO	~NULL~		utf8mb3
features_signature	4	updated	int	int(11)	NO	0		
features_signature	5	message	varchar	varchar(255)	YES	NULL		utf8mb3
feeds_importer	1	id	varchar	varchar(128)	NO	''	PRI	utf8mb3
feeds_importer	2	config	longblob	longblob	YES	NULL		
feeds_item	1	entity_type	varchar	varchar(32)	NO	''	PRI	utf8mb3
feeds_item	2	entity_id	int	int(10) unsigned	NO	~NULL~	PRI	
feeds_item	3	id	varchar	varchar(128)	NO	''	MUL	utf8mb3
feeds_item	4	feed_nid	int	int(10) unsigned	NO	~NULL~	MUL	
feeds_item	5	imported	int	int(11)	NO	0	MUL	
feeds_item	6	url	text	text	NO	~NULL~		utf8mb3
feeds_item	7	guid	text	text	NO	~NULL~		utf8mb3
